arrow_average,distance,date,golds,arrows
8.78,30,"2023-04-16",32,36
8.94,30,"2023-04-18",35,36
8.72,30,"2023-04-21",31,36
8.50,40,"2023-04-23",18,24
8.75,30,"2023-04-23",21,24
8.50,40,"2023-04-25",28,36
8.50,40,"2023-04-28",27,36
8.56,40,"2023-04-28",28,36
7.58,50,"2023-05-02",10,24
8.25,40,"2023-05-02",16,24
7.83,50,"2023-05-05",12,24
8.17,40,"2023-05-05",14,24
8.28,50,"2023-05-07",23,36
8.28,50,"2023-05-12",24,36
8.44,50,"2023-05-14",27,36
8.50,50,"2023-05-14",18,24
8.50,40,"2023-05-14",18,24
8.42,50,"2023-05-16",18,24
8.67,40,"2023-05-16",05,06
7.69,50,"2023-05-21",20,36
7.83,40,"2023-05-21",17,36
8.67,30,"2023-05-21",30,36
8.28,60,"2023-05-23",23,36
7.63,60,"2023-05-28",23,48
7.67,50,"2023-05-28",12,24
